"state","jurisdiction","fipscode","office","candidate","party","votes","totalvotes"
"MA","Auburn",2502702760,"President","Laurence Kotlikoff","",0,9455
"MA","Auburn",2502702760,"President","Evan McMullin","Independent",21,9455
"MA","Auburn",2502702760,"President","Monica Moorehead","Workers World",0,9455
"MA","Auburn",2502702760,"President","No Preference","",0,9455
"MA","Auburn",2502702760,"President","Marshall Roy Schoenke","",0,9455
"MA","Auburn",2502702760,"President","Jill Stein","Green",92,9455
"MA","Auburn",2502702760,"President","Donald Trump","Republican",4000,9455
"MA","Avon",2502102935,"President","All Others","",16,2512
"MA","Avon",2502102935,"President","Blank Votes","",54,2512
"MA","Avon",2502102935,"President","Hillary Clinton","Democrat",1254,2512
"MA","Avon",2502102935,"President","Feegbeh","",0,2512
"MA","Avon",2502102935,"President","Gary Johnson","Libertarian",79,2512
"MA","Avon",2502102935,"President","Laurence Kotlikoff","",0,2512
"MA","Avon",2502102935,"President","Evan McMullin","Independent",1,2512
"MA","Avon",2502102935,"President","Monica Moorehead","Workers World",0,2512
"MA","Avon",2502102935,"President","No Preference","",0,2512
"MA","Avon",2502102935,"President","Marshall Roy Schoenke","",0,2512
"MA","Avon",2502102935,"President","Jill Stein","Green",40,2512
"MA","Avon",2502102935,"President","Donald Trump","Republican",1068,2512
"MA","Ayer",2501703005,"President","All Others","",118,4176
"MA","Ayer",2501703005,"President","Blank Votes","",41,4176
"MA","Ayer",2501703005,"President","Hillary Clinton","Democrat",2162,4176
"MA","Ayer",2501703005,"President","Feegbeh","",0,4176
"MA","Ayer",2501703005,"President","Gary Johnson","Libertarian",292,4176
"MA","Ayer",2501703005,"President","Laurence Kotlikoff","",0,4176
"MA","Ayer",2501703005,"President","Evan McMullin","Independent",0,4176
"MA","Ayer",2501703005,"President","Monica Moorehead","Workers World",0,4176
"MA","Ayer",2501703005,"President","No Preference","",0,4176
"MA","Ayer",2501703005,"President","Marshall Roy Schoenke","",0,4176
"MA","Ayer",2501703005,"President","Jill Stein","Green",65,4176
"MA","Ayer",2501703005,"President","Donald Trump","Republican",1498,4176
"MA","Barnstable",2500103600,"President","All Others","",387,26380
"MA","Barnstable",2500103600,"President","Blank Votes","",351,26380
"MA","Barnstable",2500103600,"President","Hillary Clinton","Democrat",13005,26380
"MA","Barnstable",2500103600,"President","Feegbeh","",0,26380
"MA","Barnstable",2500103600,"President","Gary Johnson","Libertarian",1049,26380
"MA","Barnstable",2500103600,"President","Laurence Kotlikoff","",0,26380
"MA","Barnstable",2500103600,"President","Evan McMullin","Independent",45,26380
"MA","Barnstable",2500103600,"President","Monica Moorehead","Workers World",0,26380
"MA","Barnstable",2500103600,"President","No Preference","",0,26380
"MA","Barnstable",2500103600,"President","Marshall Roy Schoenke","",0,26380
"MA","Barnstable",2500103600,"President","Jill Stein","Green",348,26380
"MA","Barnstable",2500103600,"President","Donald Trump","Republican",11195,26380
"MA","Barre",2502703740,"President","All Others","",42,2936
"MA","Barre",2502703740,"President","Blank Votes","",35,2936
"MA","Barre",2502703740,"President","Hillary Clinton","Democrat",1201,2936
"MA","Barre",2502703740,"President","Feegbeh","",0,2936
"MA","Barre",2502703740,"President","Gary Johnson","Libertarian",164,2936
"MA","Barre",2502703740,"President","Laurence Kotlikoff","",0,2936
"MA","Barre",2502703740,"President","Evan McMullin","Independent",7,2936
"MA","Barre",2502703740,"President","Monica Moorehead","Workers World",0,2936
"MA","Barre",2502703740,"President","No Preference","",0,2936
"MA","Barre",2502703740,"President","Marshall Roy Schoenke","",0,2936
"MA","Barre",2502703740,"President","Jill Stein","Green",58,2936
"MA","Barre",2502703740,"President","Donald Trump","Republican",1429,2936
"MA","Becket",2500304545,"President","All Others","",22,1047
"MA","Becket",2500304545,"President","Blank Votes","",18,1047
"MA","Becket",2500304545,"President","Hillary Clinton","Democrat",571,1047
"MA","Becket",2500304545,"President","Feegbeh","",0,1047
"MA","Becket",2500304545,"President","Gary Johnson","Libertarian",37,1047
"MA","Becket",2500304545,"President","Laurence Kotlikoff","",0,1047
"MA","Becket",2500304545,"President","Evan McMullin","Independent",6,1047
"MA","Becket",2500304545,"President","Monica Moorehead","Workers World",0,1047
"MA","Becket",2500304545,"President","No Preference","",0,1047
"MA","Becket",2500304545,"President","Marshall Roy Schoenke","",0,1047
"MA","Becket",2500304545,"President","Jill Stein","Green",25,1047
"MA","Becket",2500304545,"President","Donald Trump","Republican",368,1047
"MA","Bedford",2501704615,"President","All Others","",162,8066
"MA","Bedford",2501704615,"President","Blank Votes","",112,8066
"MA","Bedford",2501704615,"President","Hillary Clinton","Democrat",5085,8066
"MA","Bedford",2501704615,"President","Feegbeh","",0,8066
"MA","Bedford",2501704615,"President","Gary Johnson","Libertarian",404,8066
"MA","Bedford",2501704615,"President","Laurence Kotlikoff","",0,8066
"MA","Bedford",2501704615,"President","Evan McMullin","Independent",0,8066
"MA","Bedford",2501704615,"President","Monica Moorehead","Workers World",0,8066
"MA","Bedford",2501704615,"President","No Preference","",0,8066
"MA","Bedford",2501704615,"President","Marshall Roy Schoenke","",0,8066
"MA","Bedford",2501704615,"President","Jill Stein","Green",92,8066
"MA","Bedford",2501704615,"President","Donald Trump","Republican",2211,8066
"MA","Belchertown",2501504825,"President","All Others","",91,8418
"MA","Belchertown",2501504825,"President","Blank Votes","",182,8418
"MA","Belchertown",2501504825,"President","Hillary Clinton","Democrat",4408,8418
"MA","Belchertown",2501504825,"President","Feegbeh","",0,8418
"MA","Belchertown",2501504825,"President","Gary Johnson","Libertarian",392,8418
"MA","Belchertown",2501504825,"President","Laurence Kotlikoff","",0,8418
"MA","Belchertown",2501504825,"President","Evan McMullin","Independent",0,8418
"MA","Belchertown",2501504825,"President","Monica Moorehead","Workers World",0,8418
"MA","Belchertown",2501504825,"President","No Preference","",0,8418
"MA","Belchertown",2501504825,"President","Marshall Roy Schoenke","",0,8418
"MA","Belchertown",2501504825,"President","Jill Stein","Green",192,8418
"MA","Belchertown",2501504825,"President","Donald Trump","Republican",3153,8418
"MA","Bellingham",2502104930,"President","All Others","",174,8982
"MA","Bellingham",2502104930,"President","Blank Votes","",114,8982
"MA","Bellingham",2502104930,"President","Hillary Clinton","Democrat",4033,8982
"MA","Bellingham",2502104930,"President","Feegbeh","",0,8982
"MA","Bellingham",2502104930,"President","Gary Johnson","Libertarian",502,8982
"MA","Bellingham",2502104930,"President","Laurence Kotlikoff","",0,8982
"MA","Bellingham",2502104930,"President","Evan McMullin","Independent",0,8982
"MA","Bellingham",2502104930,"President","Monica Moorehead","Workers World",0,8982
"MA","Bellingham",2502104930,"President","No Preference","",0,8982
"MA","Bellingham",2502104930,"President","Marshall Roy Schoenke","",0,8982
"MA","Bellingham",2502104930,"President","Jill Stein","Green",100,8982
"MA","Bellingham",2502104930,"President","Donald Trump","Republican",4059,8982
"MA","Belmont",2501705070,"President","All Others","",250,14691
"MA","Belmont",2501705070,"President","Blank Votes","",216,14691
"MA","Belmont",2501705070,"President","Hillary Clinton","Democrat",10252,14691
"MA","Belmont",2501705070,"President","Feegbeh","",0,14691
"MA","Belmont",2501705070,"President","Gary Johnson","Libertarian",561,14691
"MA","Belmont",2501705070,"President","Laurence Kotlikoff","",0,14691
"MA","Belmont",2501705070,"President","Evan McMullin","Independent",69,14691
"MA","Belmont",2501705070,"President","Monica Moorehead","Workers World",0,14691
"MA","Belmont",2501705070,"President","No Preference","",0,14691
"MA","Belmont",2501705070,"President","Marshall Roy Schoenke","",0,14691
"MA","Belmont",2501705070,"President","Jill Stein","Green",237,14691
"MA","Belmont",2501705070,"President","Donald Trump","Republican",3106,14691
"MA","Berkley",2500505280,"President","All Others","",56,3679
"MA","Berkley",2500505280,"President","Blank Votes","",42,3679
"MA","Berkley",2500505280,"President","Hillary Clinton","Democrat",1455,3679
"MA","Berkley",2500505280,"President","Feegbeh","",0,3679
"MA","Berkley",2500505280,"President","Gary Johnson","Libertarian",149,3679
"MA","Berkley",2500505280,"President","Laurence Kotlikoff","",0,3679
"MA","Berkley",2500505280,"President","Evan McMullin","Independent",0,3679
"MA","Berkley",2500505280,"President","Monica Moorehead","Workers World",0,3679
"MA","Berkley",2500505280,"President","No Preference","",0,3679
"MA","Berkley",2500505280,"President","Marshall Roy Schoenke","",0,3679
"MA","Berkley",2500505280,"President","Jill Stein","Green",51,3679
"MA","Berkley",2500505280,"President","Donald Trump","Republican",1926,3679
"MA","Berlin",2502705490,"President","All Others","",20,1966
"MA","Berlin",2502705490,"President","Blank Votes","",27,1966
"MA","Berlin",2502705490,"President","Hillary Clinton","Democrat",1009,1966
"MA","Berlin",2502705490,"President","Feegbeh","",0,1966
"MA","Berlin",2502705490,"President","Gary Johnson","Libertarian",124,1966
"MA","Berlin",2502705490,"President","Laurence Kotlikoff","",0,1966
"MA","Berlin",2502705490,"President","Evan McMullin","Independent",3,1966
"MA","Berlin",2502705490,"President","Monica Moorehead","Workers World",0,1966
"MA","Berlin",2502705490,"President","No Preference","",0,1966
"MA","Berlin",2502705490,"President","Marshall Roy Schoenke","",0,1966
"MA","Berlin",2502705490,"President","Jill Stein","Green",38,1966
"MA","Berlin",2502705490,"President","Donald Trump","Republican",745,1966
"MA","Bernardston",2501105560,"President","All Others","",27,1244
"MA","Bernardston",2501105560,"President","Blank Votes","",16,1244
"MA","Bernardston",2501105560,"President","Hillary Clinton","Democrat",711,1244
"MA","Bernardston",2501105560,"President","Feegbeh","",0,1244
"MA","Bernardston",2501105560,"President","Gary Johnson","Libertarian",81,1244
"MA","Bernardston",2501105560,"President","Laurence Kotlikoff","",0,1244
"MA","Bernardston",2501105560,"President","Evan McMullin","Independent",0,1244
"MA","Bernardston",2501105560,"President","Monica Moorehead","Workers World",0,1244
"MA","Bernardston",2501105560,"President","No Preference","",0,1244
"MA","Bernardston",2501105560,"President","Marshall Roy Schoenke","",0,1244
"MA","Bernardston",2501105560,"President","Jill Stein","Green",27,1244
"MA","Bernardston",2501105560,"President","Donald Trump","Republican",382,1244
"MA","Beverly",2500905595,"President","All Others","",319,22413
"MA","Beverly",2500905595,"President","Blank Votes","",462,22413
"MA","Beverly",2500905595,"President","Hillary Clinton","Democrat",13185,22413
"MA","Beverly",2500905595,"President","Feegbeh","",0,22413
"MA","Beverly",2500905595,"President","Gary Johnson","Libertarian",1142,22413
"MA","Beverly",2500905595,"President","Laurence Kotlikoff","",0,22413
"MA","Beverly",2500905595,"President","Evan McMullin","Independent",69,22413
"MA","Beverly",2500905595,"President","Monica Moorehead","Workers World",0,22413
"MA","Beverly",2500905595,"President","No Preference","",0,22413
"MA","Beverly",2500905595,"President","Marshall Roy Schoenke","",0,22413
"MA","Beverly",2500905595,"President","Jill Stein","Green",332,22413
"MA","Beverly",2500905595,"President","Donald Trump","Republican",6904,22413
"MA","Billerica",2501705805,"President","All Others","",423,22358
"MA","Billerica",2501705805,"President","Blank Votes","",276,22358
"MA","Billerica",2501705805,"President","Hillary Clinton","Democrat",10100,22358
"MA","Billerica",2501705805,"President","Feegbeh","",0,22358
"MA","Billerica",2501705805,"President","Gary Johnson","Libertarian",976,22358
"MA","Billerica",2501705805,"President","Laurence Kotlikoff","",0,22358
"MA","Billerica",2501705805,"President","Evan McMullin","Independent",0,22358
"MA","Billerica",2501705805,"President","Monica Moorehead","Workers World",0,22358
"MA","Billerica",2501705805,"President","No Preference","",0,22358
"MA","Billerica",2501705805,"President","Marshall Roy Schoenke","",0,22358
"MA","Billerica",2501705805,"President","Jill Stein","Green",264,22358
"MA","Billerica",2501705805,"President","Donald Trump","Republican",10319,22358
"MA","Blackstone",2502706015,"President","All Others","",49,4623
"MA","Blackstone",2502706015,"President","Blank Votes","",78,4623
"MA","Blackstone",2502706015,"President","Hillary Clinton","Democrat",1850,4623
"MA","Blackstone",2502706015,"President","Feegbeh","",0,4623
"MA","Blackstone",2502706015,"President","Gary Johnson","Libertarian",254,4623
"MA","Blackstone",2502706015,"President","Laurence Kotlikoff","",0,4623
"MA","Blackstone",2502706015,"President","Evan McMullin","Independent",6,4623
"MA","Blackstone",2502706015,"President","Monica Moorehead","Workers World",0,4623
"MA","Blackstone",2502706015,"President","No Preference","",0,4623
"MA","Blackstone",2502706015,"President","Marshall Roy Schoenke","",0,4623
"MA","Blackstone",2502706015,"President","Jill Stein","Green",59,4623
"MA","Blackstone",2502706015,"President","Donald Trump","Republican",2327,4623
"MA","Blandford",2501306085,"President","All Others","",8,717
"MA","Blandford",2501306085,"President","Blank Votes","",10,717
"MA","Blandford",2501306085,"President","Hillary Clinton","Democrat",256,717
"MA","Blandford",2501306085,"President","Feegbeh","",0,717
"MA","Blandford",2501306085,"President","Gary Johnson","Libertarian",28,717
"MA","Blandford",2501306085,"President","Laurence Kotlikoff","",0,717
"MA","Blandford",2501306085,"President","Evan McMullin","Independent",2,717
"MA","Blandford",2501306085,"President","Monica Moorehead","Workers World",0,717
"MA","Blandford",2501306085,"President","No Preference","",0,717
"MA","Blandford",2501306085,"President","Marshall Roy Schoenke","",0,717
"MA","Blandford",2501306085,"President","Jill Stein","Green",8,717
"MA","Blandford",2501306085,"President","Donald Trump","Republican",405,717
"MA","Bolton",2502706365,"President","All Others","",67,3345
"MA","Bolton",2502706365,"President","Blank Votes","",53,3345
"MA","Bolton",2502706365,"President","Hillary Clinton","Democrat",1891,3345
"MA","Bolton",2502706365,"President","Feegbeh","",0,3345
"MA","Bolton",2502706365,"President","Gary Johnson","Libertarian",230,3345
"MA","Bolton",2502706365,"President","Laurence Kotlikoff","",0,3345
"MA","Bolton",2502706365,"President","Evan McMullin","Independent",14,3345
"MA","Bolton",2502706365,"President","Monica Moorehead","Workers World",0,3345
"MA","Bolton",2502706365,"President","No Preference","",0,3345
"MA","Bolton",2502706365,"President","Marshall Roy Schoenke","",0,3345
"MA","Bolton",2502706365,"President","Jill Stein","Green",54,3345
